model,region,h,augmented,baseline,delta_rmse,delta_pct
rf,igp,1,1.665497135838478,1.6612936896170274,0.0042034462214506,0.2530224636210856
rf,igp,2,1.9420812120125013,1.9260357104346704,0.0160455015778309,0.8330843239770326
rf,igp,3,1.882339387817972,1.858202252970214,0.0241371348477581,1.2989508977925586
rf,igp,4,2.213913031920012,2.149236358800392,0.06467667311962,3.009286198550988
rf,national,1,2.277119564334656,2.2714912177243183,0.0056283466103375,0.2477820106201528
rf,national,2,2.482925759782776,2.473784108574159,0.0091416512086164,0.3695411890201485
rf,national,3,2.60803462151476,2.60858597768608,-0.0005513561713197,-0.0211362085066797
rf,national,4,2.71123659837398,2.7027661768168856,0.008470421557094,0.3133982373225464
xgb,igp,1,2.659759998093818,3.074122035865942,-0.4143620377721237,-13.479036711546916
xgb,igp,2,2.769895919171965,2.85269803070201,-0.0828021115300448,-2.9025894307386024
xgb,igp,3,3.1008628870137724,2.838552230370425,0.2623106566433475,9.24100158654176
xgb,igp,4,2.8398181782177527,2.770484514806556,0.0693336634111969,2.5025826002870857
xgb,national,1,2.4441748712045626,2.523640489515612,-0.0794656183110493,-3.148848603483217
xgb,national,2,2.736519020804208,2.746062947266093,-0.0095439264618848,-0.3475494424258017
xgb,national,3,2.9246228626884,2.917873482171198,0.0067493805172018,0.2313116232914811
xgb,national,4,2.9191070792986915,2.903749174994213,0.0153579043044786,0.5288991362178969
