split,h,model_a,model_b,metric,n_wells,median_diff,mean_diff,a_better_frac,wilcoxon_stat,p_value,region
test,1,random_forest,xgboost,rmse,2555,0.0134938275866471,0.0007288704283873,0.4677103718199608,1478563.0,3.600912289701062e-05,national
test,1,random_forest,chronos,rmse,2555,-0.0206652475204218,-0.1122285537283965,0.5252446183953033,1445696.0,5.358067684893182e-07,national
test,1,random_forest,gru,rmse,2555,0.022582484169912,-0.0435919934394847,0.461839530332681,1572302.0,0.1056423786474345,national
test,1,chronos,gru,rmse,2555,0.0439919183772605,0.0686365602889118,0.4410958904109589,1350117.0,3.5645167384822535e-14,national
test,1,chronos,lstm,rmse,2555,0.0185824738332553,0.0208804590049251,0.47279843444227,1511444.0,0.0011540608496777,national
test,1,gru,lstm,rmse,2555,-0.0221194930603922,-0.0477561012839866,0.5960861056751467,1138077.0,3.8547589977385805e-40,national
test,1,chronos,seasonal_naive,rmse,2555,-0.1434489324570953,-0.232805423269138,0.6273972602739726,1129360.0,1.6609676503871688e-41,national
test,1,gru,seasonal_naive,rmse,2555,-0.1847173518761052,-0.3014419835580499,0.6684931506849315,921234.0,3.9633732455287986e-81,national
test,1,random_forest,seasonal_naive,rmse,2555,-0.184205112837678,-0.3450339769975346,0.7154598825831703,742755.0,7.539178550094139e-126,national
test,2,random_forest,xgboost,rmse,2531,-0.0099238068123561,-0.0208798505173301,0.5266693006716713,1508988.0,0.0113088199906639,national
test,2,random_forest,chronos,rmse,2531,-0.0681814030266461,-0.1644379874296684,0.5713156854998025,1246270.0,3.7324750887209763e-22,national
test,2,random_forest,gru,rmse,2531,-0.0196093925501064,-0.1218269806943539,0.5290399051758198,1428025.0,2.190841556716603e-06,national
test,2,chronos,gru,rmse,2531,0.0464654736674601,0.0426110067353145,0.4314500197550375,1370218.0,2.842020496511415e-10,national
test,2,chronos,lstm,rmse,2531,0.0220888794973928,0.0026410916616372,0.4677992888186487,1501754.0,0.0063381819378391,national
test,2,gru,lstm,rmse,2531,-0.0224874367329155,-0.0399699150736773,0.6048992493085736,1160056.0,2.691151993536112e-33,national
test,2,chronos,seasonal_naive,rmse,2531,-0.0735427021424266,-0.0794441147074442,0.5701303832477281,1354755.0,1.7235419287801014e-11,national
