split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,climatology,1757,4.6547,2.7955,-1.7337,2.7745,-2.942
test,2,climatology,1757,4.6547,2.7955,-1.7337,2.7745,-2.942
test,3,climatology,1757,4.6547,2.7955,-1.7337,2.7745,-2.942
test,4,climatology,1757,4.6547,2.7955,-1.7337,2.7745,-2.942
test,1,persistence,1304,2.2926,1.2752,0.1427,1.4403,-1.274
test,2,persistence,1284,2.6356,1.6493,-0.0132,1.9004,-1.6063
test,3,persistence,1082,2.5333,1.481,-0.2167,1.7213,-1.2522
test,4,persistence,1239,2.2085,1.1928,-0.1264,1.3503,-1.0581
test,1,seasonal_naive,1239,2.2085,1.1928,-0.1264,1.3503,-1.0581
test,2,seasonal_naive,1239,2.2085,1.1928,-0.1264,1.3503,-1.0581
test,3,seasonal_naive,1239,2.2085,1.1928,-0.1264,1.3503,-1.0581
test,4,seasonal_naive,1239,2.2085,1.1928,-0.1264,1.3503,-1.0581
val,1,climatology,1528,4.1689,2.4249,-1.4108,2.4542,-2.2376
val,2,climatology,1528,4.1689,2.4249,-1.4108,2.4542,-2.2376
val,3,climatology,1528,4.1689,2.4249,-1.4108,2.4542,-2.2376
val,4,climatology,1528,4.1689,2.4249,-1.4108,2.4542,-2.2376
val,1,persistence,1177,2.2695,1.13,-0.0769,1.2539,-1.1539
val,2,persistence,1132,2.7298,1.5221,0.0072,1.7466,-2.055
val,3,persistence,1315,2.6709,1.4846,-0.0264,1.6517,-1.6591
val,4,persistence,1299,2.254,1.25,0.0137,1.2902,-1.1902
val,1,seasonal_naive,1299,2.254,1.25,0.0137,1.2902,-1.1902
val,2,seasonal_naive,1299,2.254,1.25,0.0137,1.2902,-1.1902
val,3,seasonal_naive,1299,2.254,1.25,0.0137,1.2902,-1.1902
val,4,seasonal_naive,1299,2.254,1.25,0.0137,1.2902,-1.1902
