split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,climatology,22567,3.7626,2.0936,0.6264,1.5557,-0.2848
test,2,climatology,22567,3.7626,2.0936,0.6264,1.5557,-0.2848
test,3,climatology,22567,3.7626,2.0936,0.6264,1.5557,-0.2848
test,4,climatology,22567,3.7626,2.0936,0.6264,1.5557,-0.2848
test,1,persistence,17622,3.3307,2.0107,-0.2792,1.5605,-1.2622
test,2,persistence,16699,3.9347,2.6111,-0.205,2.0563,-1.8268
test,3,persistence,14966,3.6936,2.2676,0.0023,1.772,-1.2378
test,4,persistence,16651,2.9353,1.5912,0.0758,1.2328,-0.6022
test,1,seasonal_naive,16651,2.9353,1.5912,0.0758,1.2328,-0.6022
test,2,seasonal_naive,16651,2.9353,1.5912,0.0758,1.2328,-0.6022
test,3,seasonal_naive,16651,2.9353,1.5912,0.0758,1.2328,-0.6022
test,4,seasonal_naive,16651,2.9353,1.5912,0.0758,1.2328,-0.6022
val,1,climatology,17704,3.4094,1.9553,-0.1352,1.3767,0.0895
val,2,climatology,17704,3.4094,1.9553,-0.1352,1.3767,0.0895
val,3,climatology,17704,3.4094,1.9553,-0.1352,1.3767,0.0895
val,4,climatology,17704,3.4094,1.9553,-0.1352,1.3767,0.0895
val,1,persistence,13068,3.7339,2.1905,0.0166,1.6584,-1.1048
val,2,persistence,12914,4.6193,2.9456,0.5104,2.2128,-2.1573
val,3,persistence,14874,4.3831,2.6757,0.7417,1.9483,-1.5514
val,4,persistence,14985,3.298,1.8498,0.2178,1.2598,-0.248
val,1,seasonal_naive,14985,3.298,1.8498,0.2178,1.2598,-0.248
val,2,seasonal_naive,14985,3.298,1.8498,0.2178,1.2598,-0.248
val,3,seasonal_naive,14985,3.298,1.8498,0.2178,1.2598,-0.248
val,4,seasonal_naive,14985,3.298,1.8498,0.2178,1.2598,-0.248
