model,tag,region,h,n,rmse,mase,nse_med
rf,baseline,national,1,13647,2.2714912177243183,1.0198305898282611,-0.18309718229329563
rf,baseline,igp,1,940,1.6612936896170274,1.2370953212008002,-1.0141626761762406
rf,augmented,national,1,13647,2.277119564334656,1.0261628957758737,-0.18878872400265778
rf,augmented,igp,1,940,1.665497135838478,1.2411062923680485,-0.9016506697485112
rf,baseline,national,2,12331,2.473784108574159,1.0994482666358256,-0.15438694050237944
rf,baseline,igp,2,963,1.9260357104346706,1.4096726092007503,-0.6804469348386084
rf,augmented,national,2,12331,2.4829257597827756,1.1007925874610767,-0.16372155735471705
rf,augmented,igp,2,963,1.9420812120125015,1.4088798426020286,-0.6436552092488301
rf,baseline,national,3,10954,2.6085859776860794,1.1060157277960405,-0.3382907825655168
rf,baseline,igp,3,777,1.858202252970214,1.3190937949994432,-0.9132336309357096
rf,augmented,national,3,10954,2.6080346215147596,1.105665035898086,-0.32772791539442025
rf,augmented,igp,3,777,1.8823393878179722,1.3336341852330345,-0.9480984552605431
rf,baseline,national,4,16566,2.7027661768168856,1.1373750162662608,-0.3143154794270737
rf,baseline,igp,4,1225,2.149236358800392,1.4197323526730372,-0.7759960170356046
rf,augmented,national,4,16566,2.7112365983739797,1.1409011362632218,-0.31049483764470664
rf,augmented,igp,4,1225,2.213913031920012,1.446633743982475,-0.7978129086761435
xgb,baseline,national,1,13647,2.523640489515612,1.1089315960359705,-0.321844308289001
xgb,baseline,igp,1,940,3.074122035865942,1.6938950856281345,-2.3570376754924087
xgb,augmented,national,1,13647,2.4441748712045626,1.1388350687259061,-0.3475304493349227
xgb,augmented,igp,1,940,2.659759998093818,1.7015396237862919,-2.6619740380440615
xgb,baseline,national,2,12331,2.746062947266093,1.1956572163731056,-0.3364361133668998
xgb,baseline,igp,2,963,2.85269803070201,1.7032682229430076,-1.4818715227481563
xgb,augmented,national,2,12331,2.736519020804208,1.2598013919677773,-0.43850790941258655
xgb,augmented,igp,2,963,2.769895919171965,1.7626142963920737,-1.5185439827922353
xgb,baseline,national,3,10954,2.917873482171198,1.2656604059470242,-0.6125309613719498
xgb,baseline,igp,3,777,2.838552230370425,1.886980060761681,-1.9330267177484401
xgb,augmented,national,3,10954,2.9246228626883997,1.3720794224494874,-0.7861296223976914
xgb,augmented,igp,3,777,3.1008628870137724,2.255741940173128,-2.6506601002601693
xgb,baseline,national,4,16566,2.903749174994213,1.261351207774393,-0.5333848352038396
xgb,baseline,igp,4,1225,2.7704845148065558,1.8875626209546466,-1.9182969411517872
xgb,augmented,national,4,16566,2.9191070792986915,1.2952867943205493,-0.6109836265120185
xgb,augmented,igp,4,1225,2.8398181782177527,1.8459393118164535,-2.017166771514476
