model,region,h,augmented,baseline,delta_rmse,delta_pct
rf,igp,1,1.665497135838478,1.6612936896170274,0.004203446221450635,0.25302246362108566
rf,igp,2,1.9420812120125015,1.9260357104346706,0.016045501577830912,0.8330843239770326
rf,igp,3,1.8823393878179722,1.858202252970214,0.024137134847758146,1.2989508977925586
rf,igp,4,2.213913031920012,2.149236358800392,0.06467667311962,3.009286198550988
rf,national,1,2.277119564334656,2.2714912177243183,0.005628346610337509,0.24778201062015281
rf,national,2,2.4829257597827756,2.473784108574159,0.00914165120861643,0.36954118902014854
rf,national,3,2.6080346215147596,2.6085859776860794,-0.000551356171319739,-0.021136208506679705
rf,national,4,2.7112365983739797,2.7027661768168856,0.008470421557094099,0.31339823732254646
xgb,igp,1,2.659759998093818,3.074122035865942,-0.41436203777212377,-13.479036711546916
xgb,igp,2,2.769895919171965,2.85269803070201,-0.0828021115300448,-2.9025894307386024
xgb,igp,3,3.1008628870137724,2.838552230370425,0.2623106566433475,9.24100158654176
xgb,igp,4,2.8398181782177527,2.7704845148065558,0.06933366341119696,2.5025826002870857
xgb,national,1,2.4441748712045626,2.523640489515612,-0.07946561831104937,-3.148848603483217
xgb,national,2,2.736519020804208,2.746062947266093,-0.009543926461884844,-0.34754944242580177
xgb,national,3,2.9246228626883997,2.917873482171198,0.006749380517201864,0.23131162329148114
xgb,national,4,2.9191070792986915,2.903749174994213,0.015357904304478698,0.5288991362178969
