split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,climatology,940,4.2622,2.5415,-1.4427,2.4715,-4.2463
test,2,climatology,963,4.3911,2.6474,-1.5731,2.4943,-2.4101
test,3,climatology,777,4.437,2.6669,-1.7602,2.6927,-2.9184
test,4,climatology,1225,4.3264,2.6025,-1.5564,2.4661,-2.5995
test,1,persistence,940,2.0424,1.218,0.3793,1.5085,-1.7342
test,2,persistence,963,2.654,1.6613,0.124,2.031,-1.8444
test,3,persistence,777,2.0374,1.3296,-0.3716,1.7027,-1.1719
test,4,persistence,1225,2.1951,1.1829,-0.1243,1.391,-1.0581
test,1,random_forest,940,1.6613,1.0446,0.2203,1.3817,-1.0142
test,2,random_forest,963,1.926,1.2042,-0.031,1.5082,-0.6804
test,3,random_forest,777,1.8582,1.1947,-0.1795,1.3822,-0.9132
test,4,random_forest,1225,2.1492,1.2654,-0.0166,1.5237,-0.776
test,1,seasonal_naive,940,2.0851,1.0837,0.0218,1.3047,-1.3053
test,2,seasonal_naive,963,1.9797,1.1834,-0.1376,1.4109,-1.0902
test,3,seasonal_naive,777,2.1916,1.1842,-0.1957,1.4124,-1.1014
test,4,seasonal_naive,1225,2.1951,1.1829,-0.1243,1.391,-1.0581
test,1,xgboost,940,2.634,1.2198,0.119,1.344,-0.7923
test,2,xgboost,963,2.6584,1.3307,0.0099,1.5984,-0.6393
test,3,xgboost,777,2.5114,1.3573,0.0003,1.5077,-0.7403
test,4,xgboost,1225,2.5691,1.3879,-0.0725,1.5791,-0.8529
val,1,climatology,1008,3.5054,2.1102,-1.0841,2.0685,-2.89
val,2,climatology,992,3.6691,2.1535,-1.089,2.1554,-2.382
val,3,climatology,1157,3.5072,2.1277,-1.0701,2.1351,-2.538
val,4,climatology,1295,3.7643,2.2402,-1.2119,2.201,-2.2825
val,1,persistence,1008,1.8491,1.0654,0.0286,1.2298,-1.2319
val,2,persistence,992,2.74,1.4937,-0.0234,1.7266,-1.8876
val,3,persistence,1157,2.4728,1.4115,-0.0038,1.6739,-1.8877
val,4,persistence,1295,2.2549,1.2493,0.0101,1.2892,-1.1902
val,1,random_forest,1008,1.7004,0.9808,0.1297,1.066,-0.665
val,2,random_forest,992,1.937,1.1416,0.2695,1.256,-0.8266
val,3,random_forest,1157,1.9161,1.1559,0.2921,1.3567,-1.0019
val,4,random_forest,1295,1.9937,1.2318,0.3063,1.4145,-0.7519
val,1,seasonal_naive,1008,2.0136,1.171,0.0349,1.1617,-1.516
val,2,seasonal_naive,992,2.1718,1.2345,0.131,1.2623,-1.3032
val,3,seasonal_naive,1157,2.1883,1.2094,0.0364,1.2821,-1.3063
val,4,seasonal_naive,1295,2.2549,1.2493,0.0101,1.2892,-1.1902
val,1,xgboost,1008,1.8053,0.9968,0.145,1.0976,-0.524
val,2,xgboost,992,2.2986,1.2368,0.2455,1.3348,-1.0691
val,3,xgboost,1157,2.0494,1.2203,0.3985,1.3517,-1.0828
val,4,xgboost,1295,2.442,1.3688,0.3356,1.5083,-1.1444
