split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,chronos,940,1.6237,0.9599,0.258,1.2677,-0.637
test,2,chronos,963,1.9482,1.1944,0.0386,1.4844,-0.6768
test,3,chronos,777,1.7928,1.1163,-0.2909,1.4224,-0.6834
test,4,chronos,1225,2.0332,1.1664,-0.0809,1.3888,-0.688
test,1,climatology,940,4.2622,2.5415,-1.4427,2.4715,-4.2463
test,2,climatology,963,4.3911,2.6474,-1.5731,2.4943,-2.4101
test,3,climatology,777,4.437,2.6669,-1.7602,2.6927,-2.9184
test,4,climatology,1225,4.3264,2.6025,-1.5564,2.4661,-2.5995
test,1,gru,940,1.6123,0.9778,0.0101,1.1845,-0.7133
test,2,gru,963,2.1378,1.3366,-0.3175,1.5519,-0.9222
test,3,gru,777,2.246,1.4291,-0.7166,1.6125,-0.9908
test,4,gru,1225,2.5444,1.5789,-0.7429,1.6775,-1.0613
test,1,lstm,940,1.6531,1.0242,0.085,1.2396,-0.8706
test,2,lstm,963,2.1654,1.3695,-0.275,1.5792,-1.019
test,3,lstm,777,2.1704,1.416,-0.5856,1.601,-0.9847
test,4,lstm,1225,2.2617,1.4128,-0.4463,1.5687,-0.8882
test,1,persistence,940,2.0424,1.218,0.3793,1.5085,-1.7342
test,2,persistence,963,2.654,1.6613,0.124,2.031,-1.8444
test,3,persistence,777,2.0374,1.3296,-0.3716,1.7027,-1.1719
test,4,persistence,1225,2.1951,1.1829,-0.1243,1.391,-1.0581
test,1,random_forest,940,1.6613,1.0446,0.2203,1.3817,-1.0142
test,2,random_forest,963,1.926,1.2042,-0.031,1.5082,-0.6804
test,3,random_forest,777,1.8582,1.1947,-0.1795,1.3822,-0.9132
test,4,random_forest,1225,2.1492,1.2654,-0.0166,1.5237,-0.776
test,1,seasonal_naive,940,2.0851,1.0837,0.0218,1.3047,-1.3053
test,2,seasonal_naive,963,1.9797,1.1834,-0.1376,1.4109,-1.0902
test,3,seasonal_naive,777,2.1916,1.1842,-0.1957,1.4124,-1.1014
test,4,seasonal_naive,1225,2.1951,1.1829,-0.1243,1.391,-1.0581
test,1,xgboost,940,2.634,1.2198,0.119,1.344,-0.7923
test,2,xgboost,963,2.6584,1.3307,0.0099,1.5984,-0.6393
test,3,xgboost,777,2.5114,1.3573,0.0003,1.5077,-0.7403
test,4,xgboost,1225,2.5691,1.3879,-0.0725,1.5791,-0.8529
val,1,chronos,1008,1.609,0.899,0.0425,1.0286,-0.497
val,2,chronos,991,2.395,1.1767,0.058,1.3401,-0.8538
val,3,chronos,1155,2.2334,1.1682,0.0376,1.3603,-0.8831
val,4,chronos,1291,2.0652,1.1689,0.0779,1.267,-0.6882
val,1,climatology,1008,3.5054,2.1102,-1.0841,2.0685,-2.89
val,2,climatology,991,3.6709,2.1552,-1.0906,2.1554,-2.382
val,3,climatology,1155,3.51,2.1298,-1.0713,2.1351,-2.538
val,4,climatology,1291,3.7697,2.2442,-1.2135,2.201,-2.2825
val,1,gru,1008,1.6273,0.9499,-0.0038,0.9817,-0.4762
val,2,gru,991,2.0663,1.1724,-0.0446,1.2631,-0.7313
val,3,gru,1155,1.9605,1.1946,-0.1077,1.307,-0.9665
val,4,gru,1291,2.2771,1.377,-0.3546,1.4515,-1.1155
val,1,lstm,1008,1.5662,0.9286,0.0445,0.9584,-0.4957
val,2,lstm,991,2.0199,1.1807,0.0119,1.2626,-0.806
val,3,lstm,1155,1.9414,1.1925,-0.004,1.2836,-0.8969
val,4,lstm,1291,2.0941,1.2793,-0.1031,1.3661,-0.965
val,1,persistence,1008,1.8491,1.0654,0.0286,1.2298,-1.2319
val,2,persistence,991,2.7414,1.495,-0.0236,1.7266,-1.9039
val,3,persistence,1155,2.4746,1.4126,-0.0028,1.6739,-1.8877
val,4,persistence,1291,2.2576,1.2502,0.0123,1.2892,-1.1902
val,1,random_forest,1008,1.7004,0.9808,0.1297,1.066,-0.665
val,2,random_forest,991,1.9377,1.1417,0.2687,1.256,-0.8355
val,3,random_forest,1155,1.9174,1.1564,0.2923,1.3567,-1.0019
val,4,random_forest,1291,1.9959,1.2323,0.3096,1.4145,-0.7519
val,1,seasonal_naive,1008,2.0136,1.171,0.0349,1.1617,-1.516
val,2,seasonal_naive,991,2.1728,1.2352,0.1306,1.2623,-1.3032
val,3,seasonal_naive,1155,2.1898,1.21,0.0371,1.2821,-1.3063
val,4,seasonal_naive,1291,2.2576,1.2502,0.0123,1.2892,-1.1902
val,1,xgboost,1008,1.8053,0.9968,0.145,1.0976,-0.524
val,2,xgboost,991,2.2995,1.237,0.2447,1.3348,-1.0691
val,3,xgboost,1155,2.051,1.2214,0.3984,1.3517,-1.0828
val,4,xgboost,1291,2.4451,1.37,0.3382,1.5083,-1.1444
