split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,climatology,13647,3.7341,2.0032,0.7017,1.4473,-0.6909
test,2,climatology,12331,3.8835,2.0912,0.6397,1.473,-0.5004
test,3,climatology,10954,3.9133,2.0596,0.6372,1.475,-0.581
test,4,climatology,16566,3.7156,2.0243,0.6223,1.4592,-0.4641
test,1,persistence,13647,3.2632,1.9669,-0.0233,1.5683,-1.8071
test,2,persistence,12331,3.8661,2.5739,0.0755,2.0128,-2.3154
test,3,persistence,10954,3.4862,2.0946,0.4821,1.6063,-1.4794
test,4,persistence,16566,2.9389,1.5921,0.0758,1.2363,-0.6022
test,1,random_forest,13647,2.2715,1.3058,0.1646,1.0561,-0.1831
test,2,random_forest,12331,2.4738,1.4456,0.1106,1.1473,-0.1544
test,3,random_forest,10954,2.6086,1.4649,0.1944,1.1461,-0.3383
test,4,random_forest,16566,2.7028,1.5261,0.3307,1.1949,-0.3143
test,1,seasonal_naive,13647,2.9408,1.5549,0.139,1.2008,-0.7243
test,2,seasonal_naive,12331,2.9488,1.6091,0.0246,1.2621,-0.5421
test,3,seasonal_naive,10954,3.0164,1.6219,0.0176,1.2602,-0.7026
test,4,seasonal_naive,16566,2.9389,1.5921,0.0758,1.2363,-0.6022
test,1,xgboost,13647,2.3312,1.3033,0.1531,1.0526,-0.1488
test,2,xgboost,12331,2.5643,1.4741,0.0791,1.1766,-0.173
test,3,xgboost,10954,2.673,1.4967,0.2207,1.1682,-0.3504
test,4,xgboost,16566,2.7288,1.5543,0.2446,1.2125,-0.329
val,1,climatology,10941,3.2655,1.9097,-0.1527,1.3129,0.0824
val,2,climatology,10960,3.2974,1.9108,-0.1254,1.3195,0.0082
val,3,climatology,12896,3.2623,1.899,-0.0993,1.3304,-0.0062
val,4,climatology,14956,3.2806,1.9054,-0.15,1.3365,0.0854
val,1,persistence,10941,3.6609,2.1852,-0.0286,1.7019,-1.1725
val,2,persistence,10960,4.4369,2.8104,0.2072,2.1052,-1.974
val,3,persistence,12896,4.2689,2.6342,0.6127,1.928,-1.6737
val,4,persistence,14956,3.3002,1.8508,0.2176,1.2586,-0.249
val,1,random_forest,10941,2.5595,1.5038,0.2222,1.0655,0.198
val,2,random_forest,10960,2.931,1.7065,0.441,1.167,-0.0343
val,3,random_forest,12896,2.935,1.7284,0.3978,1.1923,-0.0358
val,4,random_forest,14956,2.9803,1.7629,0.3897,1.2192,-0.0031
val,1,seasonal_naive,10941,3.2683,1.8336,0.2544,1.2292,-0.2223
val,2,seasonal_naive,10960,3.4057,1.8958,0.3909,1.2631,-0.3913
val,3,seasonal_naive,12896,3.3191,1.86,0.2482,1.2679,-0.3566
val,4,seasonal_naive,14956,3.3002,1.8508,0.2176,1.2586,-0.249
val,1,xgboost,10941,2.5959,1.5014,0.1942,1.0812,0.2091
val,2,xgboost,10960,2.9924,1.7191,0.337,1.1844,-0.0139
val,3,xgboost,12896,2.9609,1.7341,0.3117,1.1985,-0.0614
val,4,xgboost,14956,3.0323,1.7693,0.3374,1.2339,-0.0077
