h,best_model,model,mean_crps_diff,t_stat,p_value,n_wells
1,gru,chronos,0.0480515292133576,1.0958904744144604,0.27430354157896586,225
1,gru,climatology,1.3629755672036699,7.480208579228283,1.6699974736411605e-12,225
1,gru,lstm,0.03152522286732125,2.0441491790971615,0.042108606133667736,225
1,gru,persistence,0.2657287749084047,4.416511925484435,1.561273832728638e-05,225
1,gru,random_forest,0.08421893007327307,1.4614456410954435,0.1452945592176591,225
1,gru,seasonal_naive,0.25414547107999724,1.6902500832942577,0.09237119618817125,225
1,gru,xgboost,0.21163630996419291,2.1980227889181254,0.02897158177368575,225
2,random_forest,chronos,0.04942851064182344,1.238152676595564,0.21699116662445506,219
2,random_forest,climatology,1.2080139235852323,6.47762135824248,6.103202387919282e-10,219
2,random_forest,gru,0.11877263271321581,3.457093953129521,0.0006563863450481655,219
2,random_forest,lstm,0.14714886655074544,3.846847725171742,0.00015711333219492474,219
2,random_forest,persistence,0.4670998495839628,7.634565040578946,7.02327085377874e-13,219
2,random_forest,seasonal_naive,0.042796622737693246,0.9631744346276827,0.3365271649880557,219
2,random_forest,xgboost,0.08508910736683378,1.0989549450710805,0.2729999043019964,219
3,chronos,climatology,1.2558541886658519,6.805234048508271,1.088955592365437e-10,206
3,chronos,gru,0.17318099701789208,2.894535009450942,0.004208220646506833,206
3,chronos,lstm,0.1504292060187974,2.6321593564868033,0.009130054675320354,206
3,chronos,persistence,0.17518788364353324,3.336540354522902,0.001007108804248924,206
3,chronos,random_forest,-0.014602039269254,-0.30033811187750237,0.7642236137610159,206
3,chronos,seasonal_naive,0.08685643031925958,0.6205322775253599,0.5355966560197165,206
3,chronos,xgboost,0.06521604887482582,0.6563091755597199,0.5123612136237146,206
4,chronos,climatology,1.1344731685401546,6.223276941541244,2.2278410227727363e-09,235
4,chronos,gru,0.2311263411508493,2.481425319974387,0.013789403847204174,235
4,chronos,lstm,0.10006248217607676,1.2031127525120953,0.2301485229368807,235
4,chronos,persistence,0.06942601167485965,0.8703536683840175,0.38499912348727183,235
4,chronos,random_forest,0.019758816825639628,0.45799061291639137,0.6473841890205589,235
4,chronos,seasonal_naive,0.06942601167485965,0.8703536683840175,0.38499912348727183,235
4,chronos,xgboost,0.08207306675197698,0.8992918699596872,0.36942169196808594,235
