cohort,h,variant,rmse,mae,mase,crps
national,1,rf,2.2714912177243183,1.305751088420931,1.0210383517182142,1.0257656181796488
national,1,rf_kriged,2.2794321259032775,1.3183531298478193,1.0508663882405613,1.0331901152241982
igp,1,rf,1.6612936896170274,1.0446086492868927,1.2387754681611816,0.822354361921138
igp,1,rf_kriged,1.649579280944925,1.0238618398239223,1.2124185714395652,0.812968271227934
national,2,rf,2.473784108574159,1.4456000412205776,1.1029565804886705,1.1339358919387916
national,2,rf_kriged,2.4914242887913356,1.4690269918073822,1.1324487097743663,1.1482797844083696
igp,2,rf,1.9260357104346708,1.2042352087699193,1.4113553588793328,0.94348649545168
igp,2,rf_kriged,1.936521605386806,1.243299719630106,1.4605477901959985,0.9608513220237189
national,3,rf,2.6085859776860794,1.4649112781976041,1.1078094691295408,1.1539772330175293
national,3,rf_kriged,2.620082406905904,1.4874021016875656,1.152582842249934,1.1658840203230731
igp,3,rf,1.858202252970214,1.1946719579526255,1.3190438744117776,0.9350299472283078
igp,3,rf_kriged,1.8727377859019207,1.2421058716654294,1.4217069005122858,0.9585582774680904
national,4,rf,2.7027661768168856,1.5260756122936152,1.13646028565414,1.2028588888204388
national,4,rf_kriged,2.674461195370859,1.528902000765123,1.1801623603853486,1.2010889061492112
igp,4,rf,2.149236358800392,1.2653648586629094,1.4210690322875492,1.0028970914217414
igp,4,rf_kriged,2.0874013995473346,1.251715209122798,1.4603918556291877,0.9883659684875025
