h,loss_type,model,avg_loss,elim_order,mcs_pvalue,in_mcs
1,se,chronos,6.0873525593830395,8,1.0,True
1,se,climatology,13.943872784487835,1,0.0,False
1,se,gru,7.266312289856936,8,1.0,True
1,se,lstm,7.549202092028227,8,1.0,True
1,se,persistence,10.648193513350437,2,0.0,False
1,se,random_forest,5.1596723521987,8,1.0,True
1,se,seasonal_naive,8.648193057235973,3,0.0,False
1,se,xgboost,5.434699083507336,8,1.0,True
1,crps,chronos,1.08239637726258,5,0.0035,False
1,crps,climatology,1.5953240809849498,2,0.0,False
1,crps,gru,1.069747078713283,6,0.057,False
1,crps,lstm,1.100592725858481,4,0.0035,False
1,crps,persistence,1.5521360092747694,1,0.0,False
1,crps,random_forest,1.025765618179651,8,1.0,True
1,crps,seasonal_naive,1.2512448500859452,3,0.0,False
1,crps,xgboost,1.0255479570103985,8,1.0,True
2,se,chronos,7.625967719299939,8,1.0,True
2,se,climatology,15.081630979041245,2,0.0,False
2,se,gru,8.818156520507493,8,1.0,True
2,se,lstm,9.107741867216355,4,0.0885,False
2,se,persistence,14.946877454719642,1,0.0,False
2,se,random_forest,6.119607815834052,8,1.0,True
2,se,seasonal_naive,8.695231632606836,3,0.012,False
2,se,xgboost,6.575656193552214,8,1.0,True
2,crps,chronos,1.240696523748029,5,0.0,False
2,crps,climatology,1.6638361256400125,2,0.0,False
2,crps,gru,1.2391006431080522,6,0.0,False
2,crps,lstm,1.2700045385495808,4,0.0,False
2,crps,persistence,1.956320330039078,1,0.0,False
2,crps,random_forest,1.1339358919387934,8,1.0,True
2,crps,seasonal_naive,1.2866072071858559,3,0.0,False
2,crps,xgboost,1.1554023380556016,7,0.041,False
3,se,chronos,8.092694291577395,8,1.0,True
3,se,climatology,15.313532486457962,1,0.001,False
3,se,gru,9.75614189683583,8,1.0,True
3,se,lstm,10.274269958212223,3,0.099,False
3,se,persistence,12.153550896821576,2,0.001,False
3,se,random_forest,6.804720802980442,8,1.0,True
3,se,seasonal_naive,9.098807598067655,4,0.099,False
3,se,xgboost,7.145178989295425,8,1.0,True
3,crps,chronos,1.2310322477590785,6,0.0035,False
3,crps,climatology,1.6458371873470827,2,0.0,False
3,crps,gru,1.2698648884884811,5,0.0035,False
3,crps,lstm,1.3234327264134509,3,0.0005,False
3,crps,persistence,1.6508532073159503,1,0.0,False
3,crps,random_forest,1.1539772330175297,8,1.0,True
3,crps,seasonal_naive,1.2978716626106537,4,0.0005,False
3,crps,xgboost,1.1790075024001818,7,0.0095,False
4,se,chronos,8.060435267363491,8,1.0,True
4,se,climatology,13.805318023761302,1,0.0,False
4,se,gru,9.266232224884503,8,1.0,True
4,se,lstm,9.349664511217597,8,1.0,True
4,se,persistence,8.63724627227416,8,1.0,True
4,se,random_forest,7.304945006545361,8,1.0,True
4,se,seasonal_naive,8.63724627227416,8,1.0,True
4,se,xgboost,7.446558840674972,8,1.0,True
4,crps,chronos,1.235722551200833,6,0.0525,False
4,crps,climatology,1.609313258535985,1,0.0,False
4,crps,gru,1.3021424770021663,5,0.0055,False
4,crps,lstm,1.3160357933711218,2,0.0015,False
4,crps,persistence,1.278983317669553,3,0.0055,False
4,crps,random_forest,1.2028588888204392,8,1.0,True
4,crps,seasonal_naive,1.278983317669553,4,0.0055,False
4,crps,xgboost,1.2225261137848966,7,0.0525,False
