split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,random_forest,1304,1.8886,1.1474,0.2266,1.368,-0.9352
test,2,random_forest,1284,2.0649,1.3032,0.0521,1.5625,-0.7658
test,3,random_forest,1082,2.2365,1.3749,0.0598,1.6858,-1.2695
test,4,random_forest,1239,2.1914,1.285,0.0119,1.5051,-0.776
test,1,xgboost,1304,2.6344,1.3077,0.1383,1.4439,-0.8083
test,2,xgboost,1284,2.6694,1.4412,0.1281,1.7383,-0.7698
test,3,xgboost,1082,2.7062,1.545,0.2399,2.0171,-1.5106
test,4,xgboost,1239,2.5672,1.3926,-0.0691,1.5698,-0.8784
val,1,random_forest,1177,1.9225,1.0513,0.0738,1.1502,-0.5608
val,2,random_forest,1132,1.983,1.1822,0.2603,1.2955,-0.7823
val,3,random_forest,1315,2.1702,1.24,0.2205,1.3597,-0.8616
val,4,random_forest,1299,1.9918,1.2308,0.3065,1.4117,-0.7383
val,1,xgboost,1177,2.2425,1.1195,0.0671,1.2337,-0.4918
val,2,xgboost,1132,2.434,1.3128,0.2311,1.3826,-1.0071
val,3,xgboost,1315,2.3567,1.3211,0.3481,1.3975,-0.9184
val,4,xgboost,1299,2.44,1.3688,0.3384,1.5086,-1.1348
