split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median
test,1,random_forest,17622,2.401,1.3805,0.1384,1.1076,-0.041
test,2,random_forest,16699,2.6407,1.5395,0.1732,1.2529,-0.1574
test,3,random_forest,14966,2.7284,1.5656,0.2479,1.2852,-0.1863
test,4,random_forest,16651,2.7006,1.5251,0.3319,1.1905,-0.3127
test,1,xgboost,17622,2.4538,1.3815,0.1457,1.1165,0.0035
test,2,xgboost,16699,2.7114,1.5728,0.0932,1.2833,-0.1286
test,3,xgboost,14966,2.7748,1.5936,0.2566,1.3188,-0.1639
test,4,xgboost,16651,2.7244,1.5525,0.2443,1.2079,-0.327
val,1,random_forest,13068,2.7878,1.5872,0.306,1.1141,0.1406
val,2,random_forest,12914,3.0274,1.7532,0.4824,1.2094,-0.0875
val,3,random_forest,14874,3.0612,1.7594,0.4456,1.2178,0.0113
val,4,random_forest,14985,2.978,1.7617,0.39,1.2204,-0.003
val,1,xgboost,13068,2.8024,1.5757,0.2637,1.1223,0.1745
val,2,xgboost,12914,3.0916,1.7672,0.3749,1.223,-0.0732
val,3,xgboost,14874,3.0808,1.7626,0.3542,1.2245,-0.004
val,4,xgboost,14985,3.03,1.768,0.3381,1.2334,-0.0071
