year,target
1994,12.47777202072539
1995,11.228516483516483
1996,9.540341167551174
1997,10.342194029850747
1998,9.455411764705882
1999,10.159273255813954
2000,11.111655913978495
2001,11.591929307805596
2002,11.845109809663251
2003,10.138183183183182
2004,7.930564263322884
2005,13.072467065868263
2006,12.896289537712896
2007,13.24742892459827
2008,13.69079950799508
2009,13.874241338112306
2010,13.559036585365854
2011,13.793767441860464
2012,14.772530487804879
2013,14.641763033175355
2014,14.106217481898634
2015,14.875160116448328
2016,15.826946564885496
2017,17.00750401284109
2018,15.320567663456664
2019,15.157369727047145
2020,16.451489051094892
2021,15.315203761755486
2022,12.339799473426401
2023,-15.381598454455046
2024,2.163912172013286
2025,-7.780378955294077
