bin,mean_phat,emp_freq,count,model
1,0.05022322909031857,0.022099447513812154,181,chronos
2,0.14838636695965907,0.038461538461538464,182,chronos
3,0.24566608842080245,0.05343511450381679,131,chronos
4,0.34753084706580895,0.11538461538461539,78,chronos
5,0.4451834774790728,0.3088235294117647,68,chronos
6,0.5489794074636432,0.38461538461538464,39,chronos
7,0.6553904900867237,0.35294117647058826,34,chronos
8,0.7462225922099144,0.6296296296296297,54,chronos
9,0.8504475108268534,0.8225806451612904,62,chronos
10,0.9581502954833024,0.9818181818181818,110,chronos
1,0.05376232083854828,0.4936708860759494,237,climatology
2,0.147655812817815,0.2760942760942761,297,climatology
3,0.24692284726055544,0.09765625,256,climatology
4,0.35291351310162744,0.2,100,climatology
5,0.4475737100785031,0.42424242424242425,33,climatology
6,0.5391000943882087,0.5,8,climatology
7,0.6729841336592264,0.6666666666666666,3,climatology
8,0.7628152287312584,0.5,2,climatology
9,,,0,climatology
10,0.9494107143744662,1.0,3,climatology
1,0.051178520507985104,0.01951219512195122,205,gru
2,0.1491035044194666,0.05263157894736842,190,gru
3,0.24480974351210566,0.07746478873239436,142,gru
4,0.3461110947038674,0.12643678160919541,87,gru
5,0.44884004048368664,0.4067796610169492,59,gru
6,0.540276594328788,0.5,34,gru
7,0.6529423349610478,0.4857142857142857,35,gru
8,0.7602360526143931,0.7608695652173914,46,gru
9,0.8482484150879327,0.9818181818181818,55,gru
10,0.9556092301465752,0.9883720930232558,86,gru
1,0.05200252661507856,0.015306122448979591,196,lstm
2,0.14845993229661414,0.05555555555555555,180,lstm
3,0.24446387721633905,0.06535947712418301,153,lstm
4,0.3437026586863365,0.2,95,lstm
5,0.4497815787575548,0.35714285714285715,56,lstm
6,0.5374175590879156,0.4146341463414634,41,lstm
7,0.6521996461136621,0.5588235294117647,34,lstm
8,0.7550160233383731,0.775,40,lstm
9,0.8476357662546254,0.9310344827586207,58,lstm
10,0.9591542515174799,0.9883720930232558,86,lstm
1,0.05581237973659342,0.024390243902439025,123,persistence
2,0.15299445218490912,0.034013605442176874,147,persistence
3,0.24427256546243842,0.015625,128,persistence
4,0.34410784623774515,0.06,100,persistence
5,0.44473654508915494,0.23232323232323232,99,persistence
6,0.5592646573958994,0.4090909090909091,66,persistence
7,0.6466711186957015,0.4222222222222222,45,persistence
8,0.7598554960548779,0.5522388059701493,67,persistence
9,0.8566237644514159,0.8461538461538461,65,persistence
10,0.9479789526391803,0.9191919191919192,99,persistence
1,0.04979627901910235,0.015463917525773196,194,random_forest
2,0.1511782334057277,0.043478260869565216,161,random_forest
3,0.25070117892495875,0.034782608695652174,115,random_forest
4,0.3462597728448503,0.13953488372093023,86,random_forest
5,0.4451189720973171,0.20967741935483872,62,random_forest
6,0.5555802960275616,0.3384615384615385,65,random_forest
7,0.6472807441643085,0.5581395348837209,43,random_forest
8,0.7533202198820381,0.7446808510638298,47,random_forest
9,0.8510595039066294,0.7413793103448276,58,random_forest
10,0.9568295951002703,0.9722222222222222,108,random_forest
1,0.052650397250761045,0.048484848484848485,165,seasonal_naive
2,0.1484101991708782,0.04591836734693878,196,seasonal_naive
3,0.24763117629711334,0.06382978723404255,141,seasonal_naive
4,0.3447357307019518,0.12244897959183673,98,seasonal_naive
5,0.4459235180618741,0.3114754098360656,61,seasonal_naive
6,0.5512878951352805,0.36363636363636365,33,seasonal_naive
7,0.645295398430217,0.574468085106383,47,seasonal_naive
8,0.746667128360265,0.75,52,seasonal_naive
9,0.8497282836821282,0.8873239436619719,71,seasonal_naive
10,0.9570313578512135,0.9333333333333333,75,seasonal_naive
1,0.04869061009701177,0.0673076923076923,208,xgboost
2,0.14827406610117747,0.029239766081871343,171,xgboost
3,0.24998973817280687,0.025423728813559324,118,xgboost
4,0.3502056695755989,0.08695652173913043,69,xgboost
5,0.4418612945831514,0.22,50,xgboost
6,0.5395791856780475,0.40425531914893614,47,xgboost
7,0.6536065295560652,0.4857142857142857,35,xgboost
8,0.7472905430410375,0.5490196078431373,51,xgboost
9,0.8471878198556602,0.7439024390243902,82,xgboost
10,0.9575716546548512,0.9629629629629629,108,xgboost
