station_id,n_train,tau_well,is_igp
081455077183001,18,7.812,False
081500077310001,93,9.468,False
081530077271001,93,5.29,False
081730077163001,73,16.175999999999995,False
081900077123001,4,9.666,False
081900077123002,54,17.041,False
081930077153001,93,11.251999999999999,False
082000077160401,67,9.708,False
082230077174501,72,15.645999999999997,False
083110076562501,41,11.1,False
083125077023001,56,9.43,False
083150077073001,92,2.458,False
083200077275501,93,7.313999999999999,False
083630076494001,4,2.7600000000000002,False
083630076494002,89,3.418,False
083635077003501,96,10.100000000000001,False
083639076595201,19,6.846,False
083639076595202,19,8.528,False
083639076595203,16,5.279999999999999,False
083639076595204,19,4.374,False
083640076482501,10,3.246,False
083705076572501,23,4.122,False
083710076493001,24,27.695,False
083710076503001,25,23.34,False
083710076562001,41,1.7,False
083710076562002,13,5.226,False
083713077050601,23,6.0680000000000005,False
083733076482201,53,2.366,False
083940077373001,76,15.42,False
084000077405001,68,2.1560000000000006,False
084830077503001,25,5.338,False
084930076500501,95,12.046,False
084940077343001,50,5.615,False
085000077243001,42,10.671999999999999,False
085145076492501,44,10.314000000000002,False
085150076413001,92,16.639,False
085214077024201,10,7.331,False
085220076463001,96,10.030000000000001,False
085230076450001,89,5.554,False
085239076483901,20,8.848,False
085239076483902,22,8.369000000000002,False
085239076483904,18,3.1350000000000002,False
085250076522001,4,6.7219999999999995,False
085250076522002,92,9.227,False
085320076515001,96,8.535,False
085324076350001,51,8.265,False
085331076570701,21,6.5,False
085339076380601,21,9.03,False
085344076340701,17,7.58,False
085404076463501,13,1.6,False
085410076420401,18,8.563,False
085412076555801,17,8.044,False
085427076400101,17,8.927999999999999,False
085430077032001,37,6.862,False
090806076491701,13,5.88,False
091100076481001,47,6.26,False
091100077265001,82,13.164000000000001,False
091105076461701,16,7.1850000000000005,False
091127076421901,15,5.498,False
091145076494501,4,2.5100000000000002,False
091200076440001,15,1.392,False
091200076440002,24,1.9729999999999999,False
091200076550001,38,6.9,False
091230077333001,66,12.649999999999999,False
091230077333002,26,14.125,False
091400076343501,23,9.4,False
091430077243001,52,16.858999999999998,False
091430077243002,21,14.24,False
091430077480501,89,11.252,False
091449076365601,15,2.76,False
091453076361801,33,13.872,False
091459076310601,96,2.3,False
091459076310602,17,3.58,False
091500076253901,19,1.426,False
091500076270003,41,13.3,False
091500076290001,29,5.04,False
091500076290002,20,3.9870000000000005,False
091500076304001,86,2.5,False
091500076314502,73,3.4939999999999998,False
091500076314503,12,3.635,False
091500076321501,76,3.3049999999999997,False
091500076321502,19,3.126,False
091506076270701,16,2.175,False
092000076470002,21,4.2,False
092000076504001,76,6.6,False
092000076504003,12,6.66,False
092006077255101,4,5.841,False
092014076550401,22,9.666,False
092025077254001,74,11.690999999999999,False
092030076501001,97,4.1,False
092050076360501,8,11.600000000000001,False
092105076324501,96,3.49,False
092113076404401,23,7.022,False
092113076480901,20,5.988,False
092200078470001,65,5.784000000000001,False
092200078470002,16,6.62,False
092400078234001,26,8.6,False
092430078223001,88,12.408999999999999,False
092430078340001,29,6.196,False
092500078330001,40,7.215000000000001,False
092525078212001,62,17.3,False
092625078270501,59,38.256,False
092630078334001,82,10.285000000000002,False
092730078363001,93,7.329999999999999,False
092815078540001,4,3.1580000000000004,False
093000077380001,4,9.952,False
093039077451801,35,11.940000000000003,False
093040078115001,80,9.85,False
093045078054501,33,9.350000000000001,False
093045078054502,27,9.164000000000003,False
093230078321501,7,9.0,False
093235078413501,56,6.76,False
093315078003001,83,8.632,False
093328076405301,21,4.44,False
093330076580002,25,7.144,False
093400078043001,65,7.58,False
093500077571501,77,4.2940000000000005,False
093530078520001,74,4.220000000000001,False
093732076293601,18,1.822,False
093734076402601,15,4.324,False
093800076361901,23,5.872,False
093830076431001,92,4.716,False
