feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,3.577466194042608,autoregressive,0.9063308961018323
y_lag2,0.9556711227880348,autoregressive,0.04426001054689071
cos_q,0.4914862383578896,seasonal,0.004148144791064594
y_lag6,0.4599052563760639,autoregressive,0.00941972613883345
wellDepth,0.19213526817680554,static,0.003638232775807034
sin_q,0.09962837380934661,seasonal,0.0005957232535524526
lat,0.09067975423520905,static,0.003154577591691775
y_trend4,0.07595030704221033,autoregressive,0.0023938467454292494
y_lag1,0.07545968634372725,autoregressive,0.0025841569746507505
y_lag5,0.05131285448255685,autoregressive,0.0018549749047999196
lon,0.032648414028039516,static,0.002044303619493107
t2m_lag2,0.02927022384266136,covariate,0.000876118962595137
y_roll4_std,0.0250370172010846,autoregressive,0.00314343236159207
y_lag8,0.024242679090162353,autoregressive,0.001387872791983816
t2m_max_lag2,0.024028882437048565,covariate,0.0008661123913710527
t2m_min_lag1,0.022611582157070518,covariate,0.0008061809590102455
y_lag4,0.022095279819830144,autoregressive,0.001282939532865325
t2m_min_lag0,0.021121443939694944,covariate,0.0010898483651761706
rainfall_lag1,0.021033709776433783,covariate,0.0004885492580464412
y_lag3,0.018295863766785932,autoregressive,0.0017516985672332407
t2m_min_lag2,0.017621114023416786,covariate,0.0007359217546523702
t2m_lag0,0.017004326920952672,covariate,0.0008391447349260678
t2m_max_lag0,0.0168401029951987,covariate,0.001073576893979045
t2m_min_lag4,0.015538872068863882,covariate,0.0006649410707225232
t2m_lag1,0.013088725648285334,covariate,0.0005808050840190145
y_lag6__miss,0.011676544861484305,autoregressive,0.00013517538600207228
rainfall_lag0,0.010995036357862099,covariate,0.0006302541494807697
t2m_max_lag1,0.008793320031457873,covariate,0.0007032326429118136
t2m_lag4,0.008053332502104663,covariate,0.00048631256097207183
y_lag2__miss,0.007040305093730087,autoregressive,6.46713952103259e-05
t2m_max_lag4,0.006873084366194356,covariate,0.0006017035330777874
t2m_max_lag2__miss,0.006715585135549204,covariate,5.97954538008583e-05
t2m_min_lag2__miss,0.0065770459363926875,covariate,5.957893499042832e-05
t2m_lag2__miss,0.00649272946951118,covariate,6.33780707594463e-05
rainfall_lag2,0.005621925522279289,covariate,0.00044196308881085556
rainfall_lag2__miss,0.00548762754843247,covariate,5.2337199378966106e-05
rainfall_lag4,0.004440160906001452,covariate,0.00037440755895059425
y_lag3__miss,0.0026925700624826775,autoregressive,5.906421043074218e-05
rainfall_lag1__miss,0.0021038357877143296,covariate,1.4801836198645997e-05
y_roll4_std__miss,0.0018943360802210626,autoregressive,5.952706161843922e-05
y_lag8__miss,0.0018829905112738706,autoregressive,5.700099163672359e-05
t2m_max_lag1__miss,0.0018118370396980027,covariate,1.4921129142994741e-05
t2m_lag1__miss,0.0014638943238369938,covariate,1.0601583640213904e-05
y_lag1__miss,0.0014497738739730605,autoregressive,9.600347538203532e-06
t2m_min_lag1__miss,0.0014099336011887808,covariate,1.4333121956778152e-05
y_lag5__miss,0.0012050530479560573,autoregressive,4.329073504594803e-05
y_lag4__miss,0.0002474862869365855,autoregressive,5.461540172043947e-06
t2m_lag4__miss,0.00022268086356237946,covariate,5.4636117926490645e-06
t2m_min_lag4__miss,0.00018993782050979194,covariate,5.6316818165015256e-06
rainfall_lag4__miss,0.00018916731559637836,covariate,6.312818407871425e-06
t2m_max_lag4__miss,0.00018230664194440643,covariate,4.417482635258927e-06
y_trend4__miss,0.00017103246062663175,autoregressive,5.025701403166527e-06
lat__miss,0.0,other,0.0
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
t2m_lag0__miss,0.0,covariate,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
