feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,7.1071687,autoregressive,74097.4921875
y_lag2,0.98764235,autoregressive,8363.1552734375
y_lag6,0.86517227,autoregressive,2067.815673828125
wellDepth,0.35804006,static,1060.814697265625
y_lag1,0.3102285,autoregressive,9524.08203125
cos_q,0.29585934,seasonal,2591.15576171875
lat,0.25768995,static,459.28045654296875
sin_q,0.21366587,seasonal,1469.6759033203125
y_lag5,0.16828227,autoregressive,300.8781433105469
y_lag8,0.12961037,autoregressive,424.3746337890625
y_trend4,0.12758194,autoregressive,252.26934814453125
y_lag4,0.09770638,autoregressive,177.54592895507812
y_lag6__miss,0.09666138,autoregressive,555.6531982421875
t2m_min_lag4,0.08950593,covariate,239.34596252441406
y_lag3,0.07874987,autoregressive,205.19705200195312
lon,0.075584084,static,721.612060546875
t2m_max_lag0,0.06625684,covariate,218.25811767578125
t2m_min_lag2,0.063429385,covariate,206.966796875
t2m_lag2,0.06340651,covariate,255.1455841064453
t2m_min_lag1,0.05937011,covariate,247.8529052734375
t2m_min_lag0,0.059065063,covariate,245.2658233642578
y_lag2__miss,0.05544316,autoregressive,489.1598205566406
t2m_max_lag2,0.054302037,covariate,194.96017456054688
t2m_lag0,0.052579448,covariate,229.9253692626953
t2m_lag1,0.05124109,covariate,244.76870727539062
t2m_max_lag1,0.050407372,covariate,173.8712615966797
y_roll4_std,0.046868097,autoregressive,288.7734069824219
t2m_lag4,0.041223012,covariate,202.51593017578125
rainfall_lag0,0.028052656,covariate,211.12738037109375
t2m_max_lag4,0.020707427,covariate,182.15829467773438
rainfall_lag1,0.018311255,covariate,169.40586853027344
rainfall_lag2,0.018303948,covariate,170.7178955078125
rainfall_lag4,0.017657269,covariate,329.7289123535156
y_lag3__miss,0.016353043,autoregressive,222.3663330078125
y_roll4_std__miss,0.01204811,autoregressive,406.6383056640625
y_lag1__miss,0.006627135,autoregressive,248.30946350097656
rainfall_lag2__miss,0.0039349236,covariate,345.7695617675781
y_lag5__miss,0.0035580373,autoregressive,88.42294311523438
y_lag8__miss,0.0022621648,autoregressive,182.20785522460938
t2m_lag2__miss,0.0018788374,covariate,250.83148193359375
y_trend4__miss,0.0010876347,autoregressive,417.1697692871094
rainfall_lag1__miss,0.0008733199,covariate,232.2982940673828
y_lag4__miss,0.0008651418,autoregressive,335.8450012207031
lon__miss,0.0,other,0.0
wellDepth__miss,0.0,other,0.0
lat__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
rainfall_lag0__miss,0.0,covariate,0.0
rainfall_lag4__miss,0.0,covariate,0.0
t2m_lag0__miss,0.0,covariate,0.0
t2m_lag1__miss,0.0,covariate,0.0
t2m_lag4__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_max_lag1__miss,0.0,covariate,0.0
t2m_max_lag2__miss,0.0,covariate,0.0
t2m_max_lag4__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
t2m_min_lag1__miss,0.0,covariate,0.0
t2m_min_lag2__miss,0.0,covariate,0.0
t2m_min_lag4__miss,0.0,covariate,0.0
