feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,3.2175248,autoregressive,72544.21875
y_lag4,0.73612815,autoregressive,4227.56787109375
y_lag8,0.54218894,autoregressive,3126.6298828125
wellDepth,0.3390949,static,1102.298583984375
y_trend4,0.19751243,autoregressive,404.2084655761719
sin_q,0.15614034,seasonal,1523.342529296875
y_lag1,0.1330825,autoregressive,9247.5859375
cos_q,0.121393465,seasonal,2849.422607421875
t2m_max_lag0,0.114898324,covariate,374.8073425292969
y_lag2,0.10073999,autoregressive,1767.8492431640625
lat,0.088434905,static,550.3531494140625
y_lag5,0.07363672,autoregressive,260.6434020996094
y_lag3,0.07148497,autoregressive,303.40789794921875
t2m_min_lag1,0.0689445,covariate,358.88079833984375
t2m_min_lag0,0.064858556,covariate,244.26698303222656
y_roll4_std,0.062822655,autoregressive,403.8309326171875
t2m_lag0,0.060736176,covariate,395.66778564453125
lon,0.060112868,static,614.247802734375
t2m_min_lag2,0.046925604,covariate,237.49586486816406
y_lag6,0.043468483,autoregressive,279.8962097167969
y_lag8__miss,0.036620006,autoregressive,391.3850402832031
t2m_lag2,0.0335022,covariate,246.62496948242188
t2m_min_lag4,0.026803074,covariate,181.49240112304688
t2m_max_lag4,0.026177142,covariate,191.12326049804688
rainfall_lag0,0.024336942,covariate,205.78977966308594
t2m_max_lag1,0.02378495,covariate,240.00291442871094
rainfall_lag2,0.020312028,covariate,321.3227233886719
t2m_lag1,0.019429408,covariate,257.05975341796875
y_lag4__miss,0.018986959,autoregressive,297.0831604003906
t2m_lag4,0.017948007,covariate,182.15362548828125
rainfall_lag4,0.016930262,covariate,193.78799438476562
t2m_max_lag2,0.016927939,covariate,190.02102661132812
y_lag3__miss,0.015655186,autoregressive,194.36801147460938
rainfall_lag1,0.015180637,covariate,233.73330688476562
y_lag2__miss,0.014870704,autoregressive,192.97654724121094
y_lag1__miss,0.012779617,autoregressive,283.94189453125
y_trend4__miss,0.0051791538,autoregressive,223.1424102783203
rainfall_lag2__miss,0.0031417445,covariate,277.37396240234375
rainfall_lag1__miss,0.0029341609,covariate,252.4664306640625
y_roll4_std__miss,0.001480274,autoregressive,389.42218017578125
rainfall_lag4__miss,0.001410776,covariate,276.7828674316406
y_lag5__miss,0.00095379946,autoregressive,132.9262237548828
y_lag6__miss,0.00091564324,autoregressive,164.0835723876953
t2m_max_lag1__miss,0.0008357247,covariate,118.47024536132812
t2m_lag2__miss,0.00022596354,covariate,72.87410736083984
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
lat__miss,0.0,other,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_lag1__miss,0.0,covariate,0.0
t2m_lag0__miss,0.0,covariate,0.0
t2m_lag4__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_max_lag2__miss,0.0,covariate,0.0
t2m_max_lag4__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
t2m_min_lag1__miss,0.0,covariate,0.0
t2m_min_lag2__miss,0.0,covariate,0.0
t2m_min_lag4__miss,0.0,covariate,0.0
