split,h,model_a,model_b,loss,n_points,mean_loss_diff,dm_stat,dm_hln,p_value,region
test,1,random_forest,xgboost,se,13647,-0.2750267313086414,-1.6566192335458125,-1.6565585370710438,0.09763175128274382,national
test,1,random_forest,chronos,se,13647,-0.9276802071843271,-3.8027154305927273,-3.802576103814122,0.00014382290138592602,national
test,1,random_forest,gru,se,13647,-2.106639940203766,-3.05499069254928,-3.054878761478015,0.0022558584143199667,national
test,1,chronos,gru,se,13647,-1.1789597330194383,-1.5788927853749413,-1.578834936700865,0.11439710120612467,national
test,1,chronos,lstm,se,13647,-1.4618495359618127,-1.9030085748691656,-1.9029388509944152,0.05706954954601007,national
test,1,gru,lstm,se,13647,-0.2828898029423739,-6.393760445144524,-6.393526185689076,1.6737966568314278e-10,national
test,1,chronos,seasonal_naive,se,13647,-2.560840497852963,-4.1609490385353585,-4.160796586521512,3.190824008414417e-05,national
test,1,gru,seasonal_naive,se,13647,-1.381880764833525,-2.725343726368365,-2.7252438731532305,0.006433591712958098,national
test,1,random_forest,seasonal_naive,se,13647,-3.488520705037291,-6.910867020348767,-6.910613814749534,5.039746397983436e-12,national
test,2,random_forest,xgboost,se,12331,-0.45604837771815054,-1.9739384808587226,-1.973698360208845,0.04843834195978092,national
test,2,random_forest,chronos,se,12331,-1.5063599034658697,-5.344354069915237,-5.343703953518557,9.26876728701842e-08,national
test,2,random_forest,gru,se,12331,-2.698548719791884,-2.2847566162869586,-2.2844786860227506,0.022360326212827797,national
test,2,chronos,gru,se,12331,-1.1921888163260144,-1.1717485468359623,-1.1716060089477314,0.2413779133471694,national
test,2,chronos,lstm,se,12331,-1.4817741599450323,-1.394128204151123,-1.3939586147877057,0.1633552225270234,national
test,2,gru,lstm,se,12331,-0.289585343619018,-4.728492462045196,-4.727917262415654,2.293457421309597e-06,national
test,2,chronos,seasonal_naive,se,12331,-1.0692639133069386,-2.0732056236365946,-2.072953427589704,0.03819733738377784,national
test,2,gru,seasonal_naive,se,12331,0.12292490301907544,0.16375547799491885,0.16373555788485541,0.8699420077832043,national
test,2,random_forest,seasonal_naive,se,12331,-2.5756238167728083,-4.030521744676417,-4.030031450014216,5.610435571612449e-05,national
test,3,random_forest,xgboost,se,10954,-0.34045818631497393,-1.5004304069531278,-1.5000879664616875,0.13362044041065313,national
test,3,random_forest,chronos,se,10954,-1.2879734885969396,-2.726208094410607,-2.72558589691628,0.00642894685250428,national
test,3,random_forest,gru,se,10954,-2.951421066461693,-2.0977153898821275,-2.0972366321298956,0.03599549909256616,national
