split,h,model_a,model_b,metric,n_wells,median_diff,mean_diff,a_better_frac,wilcoxon_stat,p_value,region
test,1,random_forest,xgboost,rmse,2555,0.013493827586647189,0.0007288704283873919,0.46771037181996084,1478563.0,3.600912289701062e-05,national
test,1,random_forest,chronos,rmse,2555,-0.02066524752042187,-0.11222855372839656,0.5252446183953033,1445696.0,5.358067684893182e-07,national
test,1,random_forest,gru,rmse,2555,0.022582484169912043,-0.04359199343948471,0.461839530332681,1572302.0,0.10564237864743452,national
test,1,chronos,gru,rmse,2555,0.043991918377260575,0.06863656028891188,0.4410958904109589,1350117.0,3.564516738482253e-14,national
test,1,chronos,lstm,rmse,2555,0.018582473833255397,0.020880459004925186,0.47279843444227004,1511444.0,0.001154060849677707,national
test,1,gru,lstm,rmse,2555,-0.022119493060392237,-0.047756101283986684,0.5960861056751467,1138077.0,3.8547589977385805e-40,national
test,1,chronos,seasonal_naive,rmse,2555,-0.14344893245709534,-0.23280542326913803,0.6273972602739726,1129360.0,1.6609676503871688e-41,national
test,1,gru,seasonal_naive,rmse,2555,-0.18471735187610527,-0.3014419835580499,0.6684931506849315,921234.0,3.963373245528799e-81,national
test,1,random_forest,seasonal_naive,rmse,2555,-0.18420511283767804,-0.3450339769975346,0.7154598825831703,742755.0,7.539178550094139e-126,national
test,2,random_forest,xgboost,rmse,2531,-0.009923806812356162,-0.020879850517330156,0.5266693006716713,1508988.0,0.01130881999066399,national
test,2,random_forest,chronos,rmse,2531,-0.0681814030266461,-0.16443798742966848,0.5713156854998025,1246270.0,3.732475088720976e-22,national
test,2,random_forest,gru,rmse,2531,-0.019609392550106408,-0.12182698069435391,0.5290399051758198,1428025.0,2.190841556716603e-06,national
test,2,chronos,gru,rmse,2531,0.04646547366746012,0.04261100673531455,0.43145001975503755,1370218.0,2.842020496511415e-10,national
test,2,chronos,lstm,rmse,2531,0.0220888794973928,0.0026410916616372592,0.46779928881864874,1501754.0,0.006338181937839128,national
test,2,gru,lstm,rmse,2531,-0.022487436732915533,-0.03996991507367731,0.6048992493085736,1160056.0,2.691151993536112e-33,national
test,2,chronos,seasonal_naive,rmse,2531,-0.07354270214242664,-0.07944411470744421,0.5701303832477281,1354755.0,1.7235419287801014e-11,national
test,2,gru,seasonal_naive,rmse,2531,-0.11975359584308315,-0.12205512144275876,0.6104306598182536,1204536.0,2.9795136618667977e-27,national
test,2,random_forest,seasonal_naive,rmse,2531,-0.15201230222942708,-0.24388210213711273,0.6858949032003161,864515.0,1.6228285780385072e-89,national
test,3,random_forest,xgboost,rmse,2471,-0.011309934327882853,-0.02315649157782432,0.52853095912586,1450002.0,0.029776871129421362,national
test,3,random_forest,chronos,rmse,2471,-0.047349015888406676,-0.10592404462687444,0.5536220153783893,1281168.0,4.117896828370311e-12,national
test,3,random_forest,gru,rmse,2471,0.012335794498381292,-0.10627523411266258,0.4840145690004047,1486391.0,0.25133581993474974,national
test,3,chronos,gru,rmse,2471,0.043753665237124206,-0.000351189485788146,0.4378794010522056,1343712.0,2.3442260550517638e-07,national
test,3,chronos,lstm,rmse,2471,0.009942395095063006,-0.07404416832815315,0.48644273573452046,1503140.0,0.4997411328951755,national
test,3,gru,lstm,rmse,2471,-0.04389502620297181,-0.073692978842365,0.6592472683124241,857448.0,1.68985780482029e-79,national
test,3,chronos,seasonal_naive,rmse,2471,-0.08399585564553935,-0.10975645563288162,0.5920679886685553,1224320.0,1.3916276625059593e-17,national
test,3,gru,seasonal_naive,rmse,2471,-0.13665522371562244,-0.10940526614709346,0.6208012950222582,1139989.0,9.945242649840058e-28,national
test,3,random_forest,seasonal_naive,rmse,2471,-0.14730362993013202,-0.21568050025975605,0.6721974908943747,850390.0,3.8297772972686875e-81,national
test,4,random_forest,xgboost,rmse,2768,-0.009588954279017459,-0.024075850344423454,0.5332369942196532,1753644.0,0.00011133897641638526,national
test,4,random_forest,chronos,rmse,2768,-0.022297126330486416,-0.04506969805525626,0.5278179190751445,1748011.0,6.376989698834735e-05,national
test,4,random_forest,gru,rmse,2768,0.011038278201956075,-0.07614375553680673,0.4822976878612717,1878769.0,0.37405835386877795,national
test,4,chronos,gru,rmse,2768,0.028796440927492895,-0.031074057481550486,0.4523121387283237,1775468.0,0.0008214539379422917,national
test,4,chronos,lstm,rmse,2768,0.010522192553591825,-0.05629352789106329,0.48302023121387283,1905807.0,0.8057474374507914,national
test,4,gru,lstm,rmse,2768,-0.025124880428195773,-0.02521947040951282,0.6235549132947977,1280724.0,1.3746105304078452e-51,national
test,4,chronos,seasonal_naive,rmse,2768,-0.059580265632427576,-0.09414049321049532,0.5859826589595376,1519663.0,4.153075166556909e-21,national
test,4,gru,seasonal_naive,rmse,2768,-0.11165298300661014,-0.06306643572894483,0.6094653179190751,1495738.0,1.56094532583661e-23,national
test,4,random_forest,seasonal_naive,rmse,2768,-0.10658360903068181,-0.13921019126575157,0.622471098265896,1352091.0,5.030385116867494e-41,national
test,1,random_forest,xgboost,rmse,186,-0.008671532972697016,-0.1938619831121975,0.5268817204301075,7605.0,0.13802138763744118,igp
test,1,random_forest,chronos,rmse,186,0.06832748229751401,0.04417604893032447,0.43010752688172044,7341.0,0.06543587721658473,igp
test,1,random_forest,gru,rmse,186,0.05281959899478039,0.03259344629172867,0.41397849462365593,7461.0,0.09314124874951497,igp
test,1,chronos,gru,rmse,186,-0.0006562745605745157,-0.011582602638595814,0.5053763440860215,8632.0,0.9311747074516382,igp
