split,h,model,RMSE,skill_vs_seasonal_pct
test,1,climatology,3.7341,-26.98
test,2,climatology,3.8835,-31.7
test,3,climatology,3.9133,-29.73
test,4,climatology,3.7156,-26.43
test,1,persistence,3.2632,-10.96
test,2,persistence,3.8661,-31.11
test,3,persistence,3.4862,-15.57
test,4,persistence,2.9389,0.0
test,1,random_forest,2.2715,22.76
test,2,random_forest,2.4738,16.11
test,3,random_forest,2.6086,13.52
test,4,random_forest,2.7028,8.03
test,1,seasonal_naive,2.9408,0.0
test,2,seasonal_naive,2.9488,0.0
test,3,seasonal_naive,3.0164,0.0
test,4,seasonal_naive,2.9389,0.0
test,1,xgboost,2.3312,20.73
test,2,xgboost,2.5643,13.04
test,3,xgboost,2.673,11.38
test,4,xgboost,2.7288,7.15
val,1,climatology,3.2655,0.09
val,2,climatology,3.2974,3.18
val,3,climatology,3.2623,1.71
val,4,climatology,3.2806,0.59
val,1,persistence,3.6609,-12.01
val,2,persistence,4.4369,-30.28
val,3,persistence,4.2689,-28.62
val,4,persistence,3.3002,0.0
val,1,random_forest,2.5595,21.69
val,2,random_forest,2.931,13.94
val,3,random_forest,2.935,11.57
val,4,random_forest,2.9803,9.69
val,1,seasonal_naive,3.2683,0.0
val,2,seasonal_naive,3.4057,0.0
val,3,seasonal_naive,3.3191,0.0
val,4,seasonal_naive,3.3002,0.0
val,1,xgboost,2.5959,20.57
val,2,xgboost,2.9924,12.14
val,3,xgboost,2.9609,10.79
val,4,xgboost,3.0323,8.12
