split,h,model,RMSE,skill_vs_seasonal_pct
test,1,chronos,2.4673,16.1
test,2,chronos,2.7615,6.35
test,3,chronos,2.8448,5.69
test,4,chronos,2.8391,3.4
test,1,climatology,3.7341,-26.98
test,2,climatology,3.8835,-31.7
test,3,climatology,3.9133,-29.73
test,4,climatology,3.7156,-26.43
test,1,persistence,3.2632,-10.96
test,2,persistence,3.8661,-31.11
test,3,persistence,3.4862,-15.57
test,4,persistence,2.9389,0.0
test,1,random_forest,2.2715,22.76
test,2,random_forest,2.4738,16.11
test,3,random_forest,2.6086,13.52
test,4,random_forest,2.7028,8.03
test,1,seasonal_naive,2.9408,0.0
test,2,seasonal_naive,2.9488,0.0
test,3,seasonal_naive,3.0164,0.0
test,4,seasonal_naive,2.9389,0.0
test,1,xgboost,2.3312,20.73
test,2,xgboost,2.5643,13.04
test,3,xgboost,2.673,11.38
test,4,xgboost,2.7288,7.15
val,1,chronos,2.799,14.37
val,2,chronos,3.206,5.84
val,3,chronos,3.1486,4.47
val,4,chronos,3.0612,6.18
val,1,climatology,3.2661,0.09
val,2,climatology,3.2964,3.19
val,3,climatology,3.2385,1.74
val,4,climatology,3.2427,0.61
val,1,persistence,3.6611,-12.0
val,2,persistence,4.4387,-30.36
val,3,persistence,4.2558,-29.12
val,4,persistence,3.2627,0.0
val,1,random_forest,2.5599,21.69
val,2,random_forest,2.9316,13.9
val,3,random_forest,2.9076,11.78
val,4,random_forest,2.9268,10.3
val,1,seasonal_naive,3.2689,0.0
val,2,seasonal_naive,3.4049,0.0
val,3,seasonal_naive,3.2959,0.0
val,4,seasonal_naive,3.2627,0.0
val,1,xgboost,2.5963,20.58
val,2,xgboost,2.9927,12.11
val,3,xgboost,2.9348,10.96
val,4,xgboost,2.9672,9.06
