model,h,picp50,picp90,picp95,mpiw90,ace90,picp90_norm,mpiw90_norm,winkler90,crps,pinball,crps_clim,crpss
chronos,1,0.652127659574468,0.9648936170212766,0.9840425531914894,7.34762073516846,0.0648936170212766,0.9276595744680851,5.471014598009613,9.091203700735216,0.786046288096927,0.39302314404846345,2.0551098468250832,0.6175161686314328
chronos,2,0.6199376947040498,0.956386292834891,0.9823468328141225,8.335618591308592,0.05638629283489094,0.897196261682243,5.838033975259433,10.39971812675056,0.954384245571913,0.47719212278595663,2.141696570818083,0.5543793371218042
chronos,3,0.6525096525096525,0.9665379665379665,0.9819819819819819,8.5707462310791,0.06653796653796651,0.9099099099099099,5.765999760259264,10.289665352761208,0.8989972914056629,0.44949864570283155,2.1691502295506657,0.5855532368581553
chronos,4,0.6293877551020408,0.9640816326530612,0.976326530612245,8.463073272705076,0.06408163265306122,0.9077551020408163,5.694905205918837,11.034045274384166,0.9427108530691783,0.4713554265345894,2.1049144971037568,0.5521381726591293
climatology,1,0.4372340425531915,0.8446808510638298,0.898936170212766,8.828000000000001,-0.05531914893617018,0.7053191489361702,5.883614068611677,22.92083298540962,2.0551098468250832,1.0275549234125418,2.0551098468250832,0.0
climatology,2,0.4174454828660436,0.8359293873312564,0.893042575285566,8.958333333333334,-0.06407061266874359,0.6884735202492211,5.928894136031093,23.732454894890296,2.141696570818083,1.0708482854090415,2.141696570818083,0.0
climatology,3,0.43114543114543114,0.824967824967825,0.8867438867438867,8.923333333333332,-0.07503217503217507,0.6782496782496783,5.814451952325013,24.359650456539004,2.1691502295506657,1.084575114775333,2.1691502295506657,0.0
climatology,4,0.4269387755102041,0.8375510204081633,0.8979591836734694,8.934666666666667,-0.062448979591836706,0.6946938775510204,5.903698552829088,23.248144113696366,2.1049144971037568,1.0524572485518784,2.1049144971037568,0.0
gru,1,0.601063829787234,0.9478723404255319,0.9776595744680852,6.543838590110625,0.0478723404255319,0.8787234042553191,4.608757650377609,8.558477303527221,0.7850277519361029,0.3925138759680514,2.0551098468250832,0.6180117801737539
gru,2,0.5565939771547248,0.9231568016614745,0.9626168224299065,7.398438275030953,0.02315680166147449,0.8245067497403946,5.0575494981593065,10.707488901492592,1.050155236161546,0.525077618080773,2.141696570818083,0.5096619892516292
gru,3,0.5263835263835264,0.9214929214929215,0.9613899613899614,7.569644918115288,0.02149292149292148,0.797940797940798,5.033829514028325,11.287679371337612,1.1187009391875722,0.5593504695937862,2.1691502295506657,0.4842676528590145
gru,4,0.5273469387755102,0.9093877551020408,0.9526530612244898,7.939001975701929,0.009387755102040818,0.7942857142857143,5.330945266472131,12.727485160190653,1.2440424811191524,0.6220212405595762,2.1049144971037568,0.40898194067698024
lstm,1,0.5691489361702128,0.95,0.9744680851063829,6.5948995557928916,0.04999999999999993,0.8712765957446809,4.581960059648429,8.705456396477885,0.8133809428611531,0.40669047143057657,2.0551098468250832,0.6042153444412052
lstm,2,0.5410176531671859,0.9231568016614745,0.9584631360332295,7.563986460323321,0.02315680166147449,0.8286604361370716,5.138599013856583,10.784357311198576,1.0718209755789883,0.535910487789494,2.141696570818083,0.4995458319431425
lstm,3,0.5225225225225225,0.9214929214929215,0.9665379665379665,7.652497635693493,0.02149292149292148,0.797940797940798,5.0727589302438885,10.849839901253887,1.1002057212470442,0.5501028606235221,2.1691502295506657,0.4927941337309084
lstm,4,0.553469387755102,0.926530612244898,0.9608163265306122,7.759935243062031,0.026530612244897944,0.8195918367346938,5.267983386669952,11.366517927264736,1.1103465516767237,0.5551732758383618,2.1049144971037568,0.47249802630724536
persistence,1,0.6872340425531915,0.9670212765957447,0.9851063829787234,10.300000000000008,0.06702127659574464,0.9468085106382979,8.673765534913219,12.049893617021281,1.0316124338598753,0.5158062169299377,2.0551098468250832,0.4980256478973121
persistence,2,0.711318795430945,0.9678089304257529,0.9750778816199377,12.400000000000004,0.06780893042575287,0.9335410176531672,10.092066885313264,14.819522326064385,1.3771434196901515,0.6885717098450758,2.141696570818083,0.3569848136031185
persistence,3,0.7168597168597168,0.9794079794079794,0.9897039897039897,12.24,0.07940797940797939,0.9485199485199485,9.309139643224936,13.300746460746462,1.1132231168441167,0.5566115584220585,2.1691502295506657,0.48679298387059244
persistence,4,0.6024489795918367,0.9714285714285714,0.9820408163265306,9.040000000000001,0.0714285714285714,0.9004081632653061,6.182157647976295,11.573551020408164,0.9581713424201195,0.4790856712100596,2.1049144971037568,0.5447932237919835
random_forest,1,0.597872340425532,0.951063829787234,0.9776595744680852,6.88585262917863,0.051063829787234005,0.875531914893617,4.9630012294593895,8.901739069972784,0.822354361921138,0.41117718096056904,2.0551098468250832,0.599848950560193
random_forest,2,0.5950155763239875,0.9532710280373832,0.9740394600207685,7.860269057610106,0.05327102803738315,0.8515057113187954,5.38528678617868,10.013441895495314,0.94348649545168,0.47174324772584003,2.141696570818083,0.5594677097086223
random_forest,3,0.601029601029601,0.9536679536679536,0.9819819819819819,8.0304056316287,0.05366795366795363,0.8661518661518661,5.352901867593898,9.987426872571307,0.9350299472283078,0.4675149736141538,2.1691502295506657,0.5689418213223539
random_forest,4,0.6008163265306122,0.9567346938775511,0.9755102040816327,8.087326966173505,0.056734693877551035,0.8718367346938776,5.437455889329825,11.060013302595083,1.0028970914217414,0.5014485457108706,2.1049144971037568,0.5235449740112147
seasonal_naive,1,0.6393617021276595,0.973404255319149,0.9808510638297873,8.879999999999997,0.07340425531914896,0.9159574468085107,6.023484729683127,11.185531914893614,0.8924761825918761,0.44623809129593817,2.0551098468250832,0.5657282339575898
seasonal_naive,2,0.6074766355140186,0.9709241952232607,0.9823468328141225,9.26,0.07092419522326066,0.8868120456905504,6.269841553461863,11.20558670820353,0.9536015938407963,0.476800796920398,2.141696570818083,0.5547447725162391
seasonal_naive,3,0.5791505791505791,0.9781209781209781,0.9871299871299871,9.079999999999998,0.07812097812097807,0.8906048906048906,6.189829155074932,11.317837837837837,0.9488081737841738,0.4744040868920869,2.1691502295506657,0.5625899207632488
seasonal_naive,4,0.6024489795918367,0.9714285714285714,0.9820408163265306,9.040000000000001,0.0714285714285714,0.9004081632653061,6.182157647976295,11.573551020408164,0.9581713424201195,0.4790856712100596,2.1049144971037568,0.5447932237919835
xgboost,1,0.5861702127659575,0.948936170212766,0.9712765957446808,6.821877746582032,0.04893617021276597,0.874468085106383,5.0232886942094,11.760782050042334,0.9886905687036492,0.4943452843518247,2.0551098468250832,0.5189110838863107
xgboost,2,0.6012461059190031,0.9501557632398754,0.9750778816199377,7.827021102905277,0.05015576323987536,0.8701973001038421,5.439742095579282,12.335982126423016,1.066144630332197,0.5330723151660984,2.141696570818083,0.5021962285138495
xgboost,3,0.5611325611325612,0.9523809523809523,0.9794079794079794,7.776571578979491,0.052380952380952306,0.8584298584298584,5.405822239464708,11.79340450160553,1.072082387123988,0.5360411935619941,2.1691502295506657,0.5057592726779153
xgboost,4,0.5820408163265306,0.9526530612244898,0.9730612244897959,8.002532958984375,0.05265306122448976,0.8636734693877551,5.479608776229456,12.319440741963973,1.0993460767130927,0.5496730383565465,2.1049144971037568,0.47772411742817544
