h,model,win_rate_vs_seasonal,n_wells
1,chronos,0.6242917847025495,2824
1,climatology,0.4890226628895184,2824
1,gru,0.6621813031161473,2824
1,lstm,0.6373937677053825,2824
1,persistence,0.34419263456090654,2824
1,random_forest,0.7014872521246459,2824
1,xgboost,0.7021954674220963,2824
2,chronos,0.5688207374954363,2739
2,climatology,0.49434100036509676,2739
2,gru,0.6097115735669952,2739
2,lstm,0.5845198977729098,2739
2,persistence,0.26104417670682734,2739
2,random_forest,0.6779846659364732,2739
2,xgboost,0.6670317634173056,2739
3,chronos,0.5877551020408164,2695
3,climatology,0.5068645640074212,2695
3,gru,0.6163265306122448,2695
3,lstm,0.5721706864564008,2695
3,persistence,0.33432282003710573,2695
3,random_forest,0.6660482374768089,2695
3,xgboost,0.6500927643784786,2695
4,chronos,0.5784414692756609,2913
4,climatology,0.5108135942327497,2913
4,gru,0.6048746996223824,2913
4,lstm,0.5877102643323034,2913
4,persistence,0.0,2913
4,random_forest,0.615859938208033,2913
4,xgboost,0.6038448335049776,2913
